Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.05	16.6	17.75	18.7	19.5	21.1	22.2	23.5	24.75	25.9	27.05	27.1	27.1	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15
map(a,e)	9.95	8.4	7.25	6.3	5.5	3.9	2.8	1.5	0.25	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
map(a,E)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
map(E,i)	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
map(E,e)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
map(e,i)	5.0	6.5	7.7	9.0	10.2	10.85	12.05	13.2	14.7	16.05	17.4	18.55	19.65	20.8	21.5	21.8	22.05	22.2	22.4	22.35	22.45	22.45	22.45	22.5	22.6	22.7	22.7	22.65	22.7	22.7	22.8	22.9	22.85	22.85	22.85	22.85
Assim_Identical	49.95	46.9	44.55	42.3	40.3	38.05	35.75	33.3	30.55	28.05	25.55	24.35	23.25	22.05	21.35	21.05	20.8	20.65	20.45	20.5	20.4	20.4	20.4	20.35	20.25	20.15	20.15	20.2	20.15	20.15	20.05	19.95	20.0	20.0	20.0	20.0
Assim_Adjacent	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
