Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.0	16.45	17.9	18.95	19.8	20.9	22.0	23.2	24.6	26.15	26.8	27.1	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15	27.15
map(a,e)	10.0	8.55	7.1	6.05	5.2	4.1	3.0	1.8	0.4	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
map(a,E)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
map(E,i)	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
map(E,e)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
map(e,i)	5.0	5.9	7.05	8.45	9.85	11.2	12.65	13.95	14.95	16.1	17.35	18.45	19.6	20.7	21.4	21.85	22.2	22.4	22.5	22.55	22.65	22.75	22.75	22.8	22.85	22.95	22.95	22.9	22.75	22.8	22.85	22.9	22.9	22.9	22.85	22.8
Assim_Identical	50.0	47.65	45.05	42.6	40.35	37.9	35.35	32.85	30.45	27.75	25.85	24.45	23.25	22.15	21.45	21.0	20.65	20.45	20.35	20.3	20.2	20.1	20.1	20.05	20.0	19.9	19.9	19.95	20.1	20.05	20.0	19.95	19.95	19.95	20.0	20.05
Assim_Adjacent	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
