Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.05	16.6	17.8	18.95	20.25	21.25	22.75	23.85	25.4	26.65	27.25	27.35	27.4	27.4	27.4	27.4	27.4	27.4	27.4	27.4	27.4	27.4	27.4	27.4	27.4	27.4	27.4	27.4	27.45	27.45	27.45	27.5	27.5	27.5	27.5	27.5
map(a,e)	9.95	8.4	7.2	6.05	4.75	3.75	2.25	1.15	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
map(a,E)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
map(E,i)	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
map(E,e)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
map(e,i)	5.0	6.25	7.7	8.9	10.2	11.45	12.55	13.6	14.95	15.85	16.8	18.2	19.3	20.5	21.3	21.65	21.9	22.15	22.25	22.35	22.4	22.4	22.4	22.5	22.5	22.6	22.65	22.45	22.45	22.3	22.4	22.45	22.5	22.5	22.65	22.7
Assim_Identical	49.95	47.15	44.5	42.15	39.55	37.3	34.7	32.55	29.65	27.5	25.95	24.45	23.3	22.1	21.3	20.95	20.7	20.45	20.35	20.25	20.2	20.2	20.2	20.1	20.1	20.0	19.95	20.15	20.1	20.25	20.15	20.05	20.0	20.0	19.85	19.8
Assim_Adjacent	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
