Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.0	15.95	17.6	19.2	20.45	21.65	22.8	24.2	25.9	26.7	26.95	27.05	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1
map(a,e)	10.0	9.05	7.4	5.8	4.55	3.35	2.2	0.8	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
map(a,E)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
map(E,i)	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
map(E,e)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
map(e,i)	5.05	6.35	7.4	8.5	9.7	10.9	12.15	13.65	14.6	16.2	17.55	18.65	19.7	20.7	21.55	22.05	22.25	22.4	22.55	22.7	22.75	22.85	22.85	22.9	22.9	22.95	22.95	22.95	22.9	22.95	23.1	23.1	23.15	23.1	23.15	23.15
Assim_Identical	49.95	47.7	45.0	42.3	39.85	37.45	35.05	32.15	29.5	27.1	25.5	24.3	23.2	22.2	21.35	20.85	20.65	20.5	20.35	20.2	20.15	20.05	20.05	20.0	20.0	19.95	19.95	19.95	20.0	19.95	19.8	19.8	19.75	19.8	19.75	19.75
Assim_Adjacent	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
