Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.05	16.25	17.55	18.65	19.8	20.75	22.25	23.55	24.85	25.65	26.5	26.75	26.8	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85	26.85
map(a,e)	9.95	8.75	7.45	6.35	5.2	4.25	2.75	1.45	0.15	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
map(a,E)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
map(E,i)	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
map(E,e)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
map(e,i)	5.0	6.5	7.6	8.6	9.65	11.05	12.05	13.4	14.8	15.5	17.05	18.3	19.6	20.8	21.3	22.05	22.5	22.7	22.75	22.9	22.95	23.0	23.2	23.15	23.1	23.15	23.1	23.15	23.2	23.15	23.05	23.1	23.1	23.1	23.05	23.1
Assim_Identical	49.95	47.25	44.85	42.75	40.55	38.2	35.7	33.05	30.35	28.85	26.45	24.95	23.6	22.35	21.85	21.1	20.65	20.45	20.4	20.25	20.2	20.15	19.95	20.0	20.05	20.0	20.05	20.0	19.95	20.0	20.1	20.05	20.05	20.05	20.1	20.05
Assim_Adjacent	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
