Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.0	16.35	17.55	18.75	20.1	21.3	22.65	23.65	25.05	26.4	27.65	28.85	29.3	30.1	30.55	31.05	31.55	32.0	32.05	32.4	32.75	32.75	33.2	33.55	33.95	34.2	34.4	34.8	35.1	35.3	35.65	35.75	35.8	35.9	35.9	36.1
map(a,e)	10.0	9.9	9.7	9.5	9.35	9.25	9.05	8.85	8.8	8.7	8.45	8.3	8.3	8.4	9.15	9.85	10.6	11.3	11.95	12.45	12.95	13.6	14.4	14.9	15.35	16.2	16.75	17.4	18.0	18.75	19.3	19.65	20.0	20.1	20.15	20.3
map(a,E)	5.0	3.75	2.75	1.75	0.55	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.1	9.39526234589e-15
map(E,i)	10.0	10.95	12.3	13.2	14.3	15.65	16.9	18.35	19.2	20.2	21.45	22.55	23.1	23.15	23.35	23.45	23.45	23.5	23.5	23.55	23.6	23.6	23.6	23.6	23.6	23.6	23.6	23.6	23.6	23.6	23.6	23.6	23.6	23.6	23.6	23.6
map(E,e)	5.0	4.05	2.7	1.8	0.7	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	50.0	47.7	45.15	43.05	40.6	38.05	35.45	33.0	30.75	28.4	25.9	23.6	22.6	21.75	21.1	20.5	20.0	19.5	19.45	19.05	18.65	18.65	18.2	17.85	17.45	17.2	17.0	16.6	16.3	16.1	15.75	15.65	15.6	15.5	15.5	15.3
Assim_Adjacent	50.0	48.75	47.75	46.75	45.55	44.45	43.3	42.5	41.15	39.9	38.9	37.85	37.4	36.5	35.3	34.1	32.85	31.7	31.0	30.15	29.3	28.65	27.4	26.55	25.7	24.6	23.85	22.8	21.9	20.95	20.05	19.6	19.2	19.0	18.95	18.6
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
