Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.0	16.5	17.55	18.8	19.75	21.15	22.55	23.95	25.25	26.25	27.6	28.55	29.4	29.9	30.25	30.55	30.9	31.3	31.4	31.65	32.0	32.3	32.5	32.75	33.15	33.6	33.8	34.1	34.3	34.65	34.95	35.2	35.3	35.45	35.6	35.9
map(a,e)	10.0	9.55	9.4	9.35	9.1	8.75	8.55	8.35	7.9	7.5	7.4	7.25	7.2	7.85	8.5	8.95	9.6	10.25	11.15	11.7	12.05	12.45	12.9	13.5	14.65	15.35	15.7	16.2	16.6	16.95	17.6	18.15	18.85	19.05	19.5	19.6
map(a,E)	5.0	3.95	3.05	1.85	1.15	0.1	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.05	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.05	9.39526234589e-15
map(E,i)	10.05	11.35	12.5	13.7	15.0	16.3	17.35	18.6	19.6	20.6	21.65	22.9	23.3	23.45	23.55	23.55	23.55	23.55	23.6	23.6	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65
map(E,e)	4.95	3.65	2.5	1.3	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	49.95	47.15	44.95	42.5	40.25	37.55	35.1	32.45	30.15	28.15	25.75	23.55	22.3	21.65	21.2	20.9	20.55	20.15	20.0	19.75	19.35	19.05	18.85	18.6	18.2	17.75	17.55	17.25	17.05	16.7	16.4	16.15	16.05	15.9	15.75	15.45
Assim_Adjacent	50.0	48.95	48.05	46.85	46.15	45.1	43.9	42.7	41.85	41.25	40.0	39.2	38.4	37.25	36.25	35.5	34.5	33.45	32.45	31.65	30.95	30.25	29.6	28.75	27.2	26.05	25.5	24.7	24.1	23.4	22.45	21.65	20.85	20.5	19.9	19.5
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
