Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.05	16.1	17.45	18.25	19.65	20.65	21.8	23.25	24.1	25.6	26.85	27.85	29.25	30.25	30.8	31.1	31.3	31.8	32.0	32.55	32.7	33.05	33.55	33.95	34.35	34.55	35.0	35.15	35.65	35.7	36.0	36.05	36.05	36.1	36.25	36.15
map(a,e)	10.0	9.9	9.85	9.75	9.75	9.7	9.65	9.45	9.4	9.3	9.15	9.15	9.1	9.45	10.05	10.75	11.25	11.9	12.75	13.65	14.2	14.7	15.45	16.2	17.05	17.8	18.5	19.2	19.6	19.8	20.05	20.35	20.5	20.6	20.55	20.6
map(a,E)	4.95	4.0	2.7	2.0	0.6	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.05	9.39526234589e-15	9.39526234589e-15	0.05	0.05	0.1
map(E,i)	10.0	11.35	12.5	13.75	14.85	16.35	17.85	19.15	20.15	21.5	22.7	23.8	24.0	24.0	24.05	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1
map(E,e)	5.0	3.65	2.5	1.25	0.15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	49.95	47.55	45.05	43.0	40.5	38.0	35.35	32.6	30.75	27.9	25.45	23.35	21.75	20.75	20.15	19.8	19.6	19.1	18.9	18.35	18.2	17.85	17.35	16.95	16.55	16.35	15.9	15.75	15.25	15.2	14.9	14.85	14.85	14.8	14.65	14.75
Assim_Adjacent	49.95	49.0	47.7	47.0	45.6	44.65	43.55	42.3	41.5	40.1	39.0	38.0	36.65	35.3	34.15	33.15	32.45	31.3	30.25	28.8	28.1	27.25	26.0	24.85	23.6	22.65	21.5	20.65	19.75	19.5	18.95	18.6	18.45	18.3	18.2	18.25
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
