Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.05	16.15	17.15	18.6	20.15	21.2	22.45	23.8	24.85	26.55	27.95	29.35	30.35	31.1	31.6	32.0	32.35	32.8	33.0	33.45	34.15	34.55	34.8	35.2	35.75	36.0	36.3	36.35	36.35	36.3	36.2	36.25	36.2	36.25	36.3	36.35
map(a,e)	10.0	10.0	9.95	9.95	9.95	9.95	9.95	9.9	9.9	9.9	9.9	9.95	10.1	10.6	11.45	12.2	12.6	13.4	14.35	15.25	15.75	16.7	17.45	18.3	18.9	19.55	19.85	20.25	20.4	20.5	20.6	20.7	20.85	20.85	20.9	20.9
map(a,E)	4.95	3.85	2.9	1.45	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.05	0.05	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(E,i)	10.0	11.15	12.7	13.85	15.1	16.15	17.35	18.2	19.35	20.8	22.35	23.15	23.45	23.5	23.5	23.55	23.55	23.55	23.55	23.55	23.55	23.55	23.55	23.55	23.55	23.55	23.55	23.55	23.55	23.55	23.55	23.55	23.55	23.5	23.5	23.5
map(E,e)	5.0	3.85	2.3	1.15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.05	0.05	0.05
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	49.95	47.7	45.15	42.55	39.75	37.65	35.2	33.0	30.8	27.65	24.7	22.5	21.2	20.4	19.9	19.45	19.1	18.65	18.45	18.0	17.3	16.9	16.65	16.25	15.7	15.45	15.15	15.1	15.1	15.15	15.25	15.2	15.25	15.25	15.2	15.15
Assim_Adjacent	49.95	48.85	47.9	46.45	44.9	43.85	42.6	41.3	40.25	38.55	37.15	35.7	34.55	33.3	31.95	30.8	30.05	28.8	27.65	26.3	25.1	23.75	22.75	21.5	20.35	19.45	18.85	18.4	18.25	18.2	18.2	18.05	17.95	17.9	17.8	17.75
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
