Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.05	15.85	16.55	17.3	17.95	18.7	19.2	20.15	21.1	22.4	23.35	24.0	24.45	24.9	24.85	25.1	24.75	24.95	24.9	24.75	24.9	24.6	24.7	24.9	24.7	24.8	24.65	24.75	24.6	24.3	24.25	24.55	24.45	24.55	24.4	24.45
map(a,e)	9.95	9.15	8.45	7.7	7.05	6.3	5.8	4.85	3.9	2.6	1.65	1.0	0.55	0.15	0.2	0.05	0.4	0.2	0.25	0.4	0.25	0.55	0.45	0.3	0.5	0.4	0.55	0.45	0.6	0.9	0.95	0.65	0.75	0.65	0.8	0.75
map(a,E)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.95	4.95	4.95	4.95	4.95	4.95	4.95	4.95	4.95	4.95	4.95	4.95	4.95
map(E,i)	10.0	11.3	12.9	13.95	15.2	16.2	17.35	18.3	19.85	21.0	22.15	23.2	24.3	25.15	25.6	25.7	25.95	26.15	26.15	26.25	26.25	26.4	26.45	26.5	26.6	26.7	26.75	26.85	26.9	26.95	26.95	27.0	27.0	27.05	27.1	27.1
map(E,e)	5.0	3.7	2.1	1.05	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	49.95	47.85	45.55	43.75	41.85	40.1	38.45	36.55	34.05	31.6	29.5	27.8	26.25	24.95	24.55	24.2	24.3	23.9	23.95	24.0	23.85	24.0	23.85	23.6	23.7	23.5	23.6	23.4	23.5	23.75	23.8	23.45	23.55	23.4	23.5	23.45
Assim_Adjacent	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	49.95	49.95	49.95	49.95	49.95	49.95	49.95	49.95	49.95	49.95	49.95	49.95	49.95
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
