Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.0	15.75	17.0	18.2	19.25	20.45	21.75	22.6	23.65	24.85	26.15	27.15	28.45	29.6	30.0	30.4	30.65	31.2	31.65	32.05	32.35	32.85	33.2	33.35	33.6	34.2	34.45	35.05	35.4	35.6	35.5	35.4	35.55	35.7	35.7	35.7
map(a,e)	10.0	9.9	9.7	9.6	9.5	9.3	9.2	9.1	8.95	8.8	8.75	8.7	8.65	8.9	9.25	9.6	10.3	11.25	12.0	12.35	12.95	14.1	14.9	15.65	16.5	17.05	18.3	19.1	19.75	20.2	20.35	20.3	20.5	20.6	20.7	20.75
map(a,E)	5.0	4.35	3.3	2.2	1.25	0.25	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.1	0.3	9.39526234589e-15	9.39526234589e-15	0.05	9.39526234589e-15
map(E,i)	10.05	11.35	12.6	13.85	15.05	16.55	17.6	19.0	20.5	21.95	23.2	24.05	24.3	24.4	24.4	24.45	24.5	24.5	24.5	24.5	24.5	24.5	24.5	24.5	24.5	24.5	24.5	24.5	24.5	24.5	24.5	24.5	24.5	24.5	24.5	24.5
map(E,e)	4.95	3.65	2.4	1.15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	49.95	47.9	45.4	42.95	40.7	38.0	35.65	33.4	30.85	28.2	25.65	23.8	22.25	21.0	20.6	20.15	19.85	19.3	18.85	18.45	18.15	17.65	17.3	17.15	16.9	16.3	16.05	15.45	15.1	14.9	15.0	15.1	14.95	14.8	14.8	14.8
Assim_Adjacent	50.0	49.35	48.3	47.2	46.25	45.25	44.05	43.3	42.4	41.35	40.1	39.15	37.9	36.5	35.75	35.0	34.05	32.55	31.35	30.6	29.7	28.05	26.9	26.0	24.9	23.75	22.25	20.85	19.85	19.2	19.15	19.3	18.95	18.7	18.6	18.55
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
