Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.05	16.25	17.7	18.8	20.25	21.55	22.7	24.05	25.55	26.75	27.75	29.05	29.8	30.35	30.9	31.3	31.5	31.95	32.3	32.55	32.95	33.0	33.5	33.75	34.15	34.5	34.65	35.2	35.4	35.75	35.85	35.9	36.05	35.95	36.05	36.0
map(a,e)	10.0	9.8	9.6	9.35	9.15	9.15	8.85	8.8	8.65	8.4	8.35	8.25	8.95	9.5	10.2	10.85	11.6	12.15	12.95	13.45	14.2	14.8	15.5	15.6	16.05	16.7	17.25	18.05	18.7	19.35	19.6	19.85	20.1	20.35	20.45	20.4
map(a,E)	4.95	3.95	2.7	1.85	0.6	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.15
map(E,i)	10.0	11.8	13.2	14.75	15.8	17.15	18.5	19.75	20.95	22.15	23.4	23.8	23.95	23.95	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0
map(E,e)	5.0	3.2	1.8	0.25	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	49.95	46.95	44.1	41.45	38.95	36.3	33.8	31.2	28.5	26.1	23.85	22.15	21.25	20.7	20.1	19.7	19.5	19.05	18.7	18.45	18.05	18.0	17.5	17.25	16.85	16.5	16.35	15.8	15.6	15.25	15.15	15.1	14.95	15.05	14.95	15.0
Assim_Adjacent	49.95	48.95	47.7	46.85	45.6	44.3	43.45	42.15	40.8	39.85	38.9	37.7	36.25	35.15	33.9	32.85	31.9	30.9	29.75	29.0	27.85	27.2	26.0	25.65	24.8	23.8	23.1	21.75	20.9	19.9	19.55	19.25	18.85	18.7	18.5	18.6
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
