Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.0	16.4	17.45	18.3	19.55	21.25	22.2	23.4	24.5	25.8	27.1	27.95	28.4	28.85	28.8	29.0	29.15	29.45	29.75	29.8	30.1	30.4	30.65	30.55	31.0	31.1	31.2	31.5	31.85	32.25	32.35	32.55	32.7	33.05	33.15	33.4
map(a,e)	10.0	9.65	9.1	8.7	8.0	7.1	6.65	6.05	5.8	5.4	4.85	4.65	4.85	5.05	5.9	6.75	7.3	7.8	8.2	8.45	8.9	9.25	9.7	10.2	10.6	11.15	11.7	12.15	12.65	13.0	13.3	13.85	14.65	14.8	15.3	15.65
map(a,E)	5.0	3.95	3.45	3.0	2.45	1.65	1.15	0.55	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(E,i)	10.0	11.0	12.15	13.55	14.7	15.7	17.3	18.45	19.8	20.85	22.05	23.15	23.6	24.05	24.2	24.3	24.45	24.5	24.5	24.5	24.55	24.55	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.55
map(E,e)	5.0	4.0	2.85	1.45	0.3	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.05
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	50.0	47.6	45.4	43.15	40.75	38.05	35.5	33.15	30.7	28.35	25.85	23.9	23.0	22.1	22.0	21.7	21.4	21.05	20.75	20.7	20.35	20.05	19.75	19.85	19.4	19.3	19.2	18.9	18.55	18.15	18.05	17.85	17.7	17.35	17.25	17.05
Assim_Adjacent	50.0	48.95	48.45	48.0	47.45	46.65	46.15	45.55	44.7	43.8	43.05	42.4	41.75	41.1	40.3	39.25	38.55	37.75	37.05	36.75	36.0	35.35	34.65	34.25	33.4	32.75	32.1	31.35	30.5	29.75	29.35	28.6	27.65	27.15	26.55	25.95
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
