Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.05	16.45	17.55	18.9	20.3	21.5	22.3	23.5	25.0	25.8	26.75	28.05	28.9	29.5	30.3	30.6	31.05	31.55	32.1	32.25	32.55	32.95	33.35	33.85	34.1	34.5	34.8	35.15	35.4	35.5	35.7	35.75	35.85	35.75	35.95	35.9
map(a,e)	10.0	9.8	9.7	9.5	9.35	9.3	9.25	9.05	8.85	8.65	8.6	8.5	8.45	8.5	9.05	10.0	10.6	11.35	12.35	13.15	14.1	14.8	15.5	16.3	16.8	17.4	18.05	18.65	19.2	20.15	20.35	20.45	20.55	20.55	20.6	20.6
map(a,E)	4.95	3.75	2.75	1.6	0.35	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.1	9.39526234589e-15	0.05
map(E,i)	10.0	11.1	12.25	13.25	14.55	16.2	17.4	18.45	19.35	20.7	22.6	23.35	23.8	24.05	24.05	24.05	24.05	24.15	24.15	24.15	24.15	24.15	24.15	24.15	24.15	24.15	24.15	24.15	24.15	24.15	24.15	24.15	24.15	24.15	24.15	24.15
map(E,e)	5.0	3.9	2.75	1.75	0.45	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	49.95	47.45	45.2	42.85	40.15	37.3	35.3	33.05	30.65	28.5	25.65	23.6	22.3	21.45	20.65	20.35	19.9	19.3	18.75	18.6	18.3	17.9	17.5	17.0	16.75	16.35	16.05	15.7	15.45	15.35	15.15	15.1	15.0	15.1	14.9	14.95
Assim_Adjacent	49.95	48.75	47.75	46.6	45.35	44.2	43.45	42.45	41.15	40.55	39.65	38.45	37.65	37.0	35.65	34.4	33.35	32.1	30.55	29.6	28.35	27.25	26.15	24.85	24.1	23.1	22.15	21.2	20.4	19.35	18.95	18.8	18.6	18.7	18.45	18.5
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
