Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.0	16.2	17.5	19.0	20.2	21.5	22.85	24.05	25.1	26.2	27.15	28.35	29.2	30.0	30.5	31.1	31.4	31.75	32.15	32.55	32.9	33.25	33.6	34.15	34.5	34.9	35.2	35.65	35.8	36.05	36.1	36.1	35.95	36.1	36.1	36.05
map(a,e)	10.0	9.95	9.7	9.6	9.55	9.35	9.1	8.9	8.8	8.65	8.55	8.35	8.25	8.55	9.05	9.6	10.25	10.95	12.05	12.85	13.75	14.65	15.25	15.95	16.55	17.45	17.9	18.4	19.15	19.6	19.95	20.2	20.2	20.35	20.55	20.6
map(a,E)	5.0	3.85	2.8	1.4	0.25	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.15	9.39526234589e-15	0.05	0.05
map(E,i)	10.0	11.15	12.1	12.75	14.05	15.15	16.5	17.4	18.75	20.0	21.7	22.95	23.4	23.55	23.6	23.6	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65	23.65
map(E,e)	5.0	3.85	2.9	2.25	0.95	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	50.0	47.65	45.4	43.25	40.75	38.35	35.65	33.55	31.15	28.8	26.15	23.7	22.4	21.45	20.9	20.3	19.95	19.6	19.2	18.8	18.45	18.1	17.75	17.2	16.85	16.45	16.15	15.7	15.55	15.3	15.25	15.25	15.4	15.25	15.25	15.3
Assim_Adjacent	50.0	48.85	47.8	46.4	45.25	44.15	43.05	42.05	41.1	40.15	39.3	38.3	37.55	36.45	35.45	34.3	33.35	32.3	30.8	29.6	28.35	27.1	26.15	24.9	23.95	22.65	21.9	20.95	20.05	19.35	18.95	18.7	18.85	18.55	18.35	18.35
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
