Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.0	16.2	17.3	18.4	19.7	20.85	22.0	23.6	25.15	26.35	27.65	28.8	30.05	31.05	31.75	32.15	32.25	32.5	32.8	33.2	33.5	34.15	34.55	35.05	35.45	35.85	35.95	36.15	36.25	36.3	36.45	36.5	36.5	36.5	36.5	36.5
map(a,e)	10.0	9.95	9.85	9.85	9.85	9.75	9.7	9.7	9.6	9.45	9.45	9.45	9.65	9.95	10.4	11.3	12.25	13.0	13.7	14.75	15.65	16.25	17.1	17.95	18.65	19.25	19.8	20.1	20.3	20.55	20.65	20.75	20.75	20.8	20.85	20.8
map(a,E)	5.0	3.85	2.85	1.75	0.45	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.1
map(E,i)	10.0	11.3	12.6	13.75	14.85	16.25	17.05	18.1	19.05	20.4	21.7	22.8	23.05	23.15	23.3	23.35	23.4	23.4	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45
map(E,e)	5.0	3.7	2.4	1.25	0.15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	50.0	47.5	45.1	42.85	40.45	37.9	35.95	33.3	30.8	28.25	25.65	23.4	21.9	20.8	19.95	19.5	19.35	19.1	18.75	18.35	18.05	17.4	17.0	16.5	16.1	15.7	15.6	15.4	15.3	15.25	15.1	15.05	15.05	15.05	15.05	15.05
Assim_Adjacent	50.0	48.85	47.85	46.75	45.45	44.4	43.3	41.7	40.25	39.2	37.9	36.75	35.3	34.0	32.85	31.55	30.5	29.5	28.5	27.05	25.85	24.6	23.35	22.0	20.9	19.9	19.25	18.75	18.45	18.15	17.9	17.75	17.75	17.7	17.65	17.7
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
