Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.0	16.4	17.35	18.35	19.1	20.3	21.6	22.8	24.2	25.8	27.05	28.4	29.45	30.2	30.8	31.35	32.05	32.25	32.7	32.85	32.95	33.6	34.1	34.15	34.6	34.9	35.3	35.6	35.8	35.75	35.8	36.0	36.0	36.05	36.1	36.05
map(a,e)	10.0	9.95	9.85	9.85	9.75	9.7	9.65	9.6	9.45	9.4	9.35	9.3	9.3	9.65	10.4	11.1	11.65	12.25	13.0	13.8	14.6	15.5	16.3	17.15	17.95	18.65	19.2	19.55	19.9	20.15	20.3	20.45	20.5	20.5	20.6	20.6
map(a,E)	5.0	3.65	2.8	1.8	1.15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.05	9.39526234589e-15	9.39526234589e-15	0.05	9.39526234589e-15	0.1	0.05	9.39526234589e-15	0.1
map(E,i)	10.0	11.0	12.35	14.0	15.35	16.6	17.75	18.85	20.1	21.3	22.35	23.5	23.8	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95	23.95
map(E,e)	5.0	4.0	2.65	1.0	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	50.0	47.6	45.3	42.65	40.55	38.1	35.65	33.35	30.7	27.9	25.6	23.1	21.75	20.85	20.25	19.7	19.0	18.8	18.35	18.2	18.1	17.45	16.95	16.9	16.45	16.15	15.75	15.45	15.25	15.3	15.25	15.05	15.05	15.0	14.95	15.0
Assim_Adjacent	50.0	48.65	47.8	46.8	46.15	45.0	43.75	42.6	41.35	39.8	38.6	37.3	36.25	35.15	33.8	32.55	31.3	30.5	29.3	28.35	27.45	25.9	24.6	23.7	22.45	21.45	20.5	19.85	19.3	19.1	18.9	18.55	18.5	18.45	18.3	18.35
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
