Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.0	16.25	17.6	18.65	19.45	20.35	21.6	22.9	23.95	25.45	26.5	27.7	28.5	29.35	29.95	30.15	30.65	31.1	31.45	32.0	32.25	32.5	32.7	33.1	33.5	33.85	33.95	34.55	34.9	35.25	35.45	35.3	35.3	35.4	35.55	35.65
map(a,e)	10.0	10.0	9.9	9.75	9.65	9.4	9.15	8.95	8.9	8.75	8.75	8.65	8.55	8.55	9.2	9.9	10.45	11.35	12.05	13.0	13.45	13.85	14.35	15.0	15.7	16.4	17.45	18.35	18.95	19.7	20.0	20.3	20.35	20.35	20.55	20.45
map(a,E)	5.0	3.75	2.5	1.6	0.9	0.25	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.1	9.39526234589e-15	9.39526234589e-15	0.05
map(E,i)	10.0	11.25	12.45	14.0	15.25	17.2	18.4	19.45	20.8	22.1	23.25	24.25	24.5	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6	24.6
map(E,e)	5.0	3.75	2.55	1.0	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	50.0	47.5	44.95	42.35	40.3	37.45	35.0	32.65	30.25	27.45	25.25	23.05	22.0	21.05	20.45	20.25	19.75	19.3	18.95	18.4	18.15	17.9	17.7	17.3	16.9	16.55	16.45	15.85	15.5	15.15	14.95	15.1	15.1	15.0	14.85	14.75
Assim_Adjacent	50.0	48.75	47.5	46.6	45.9	45.25	44.25	43.15	42.15	40.8	39.75	38.65	37.95	37.1	35.85	34.95	33.9	32.55	31.5	30.0	29.3	28.65	27.95	26.9	25.8	24.75	23.6	22.1	21.15	20.05	19.55	19.4	19.35	19.25	18.9	18.9
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
