Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.05	16.3	17.4	18.5	19.8	20.9	22.05	23.3	24.9	26.2	27.5	28.85	29.95	30.6	31.1	31.7	32.3	32.65	33.1	33.35	33.7	34.1	34.65	35.05	35.35	35.6	35.95	36.0	36.15	36.2	36.2	36.25	36.35	36.35	36.4	36.4
map(a,e)	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.05	10.35	10.9	11.7	12.45	13.1	14.05	14.85	15.75	16.55	17.3	18.0	18.85	19.7	20.25	20.35	20.4	20.6	20.65	20.9	20.95	21.0	21.0	21.15
map(a,E)	4.95	3.7	2.6	1.5	0.2	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(E,i)	10.0	11.1	12.15	13.35	14.85	15.7	16.95	17.85	19.15	20.45	21.9	22.95	23.3	23.45	23.5	23.6	23.65	23.65	23.7	23.7	23.75	23.75	23.75	23.75	23.75	23.75	23.75	23.75	23.75	23.75	23.75	23.75	23.75	23.75	23.75	23.75
map(E,e)	5.0	3.9	2.85	1.65	0.15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	49.95	47.6	45.45	43.15	40.35	38.4	36.0	33.85	30.95	28.35	25.6	23.2	21.75	20.95	20.4	19.7	19.05	18.7	18.2	17.95	17.55	17.15	16.6	16.2	15.9	15.65	15.3	15.25	15.1	15.05	15.05	15.0	14.9	14.9	14.85	14.85
Assim_Adjacent	49.95	48.7	47.6	46.5	45.2	44.1	42.95	41.7	40.1	38.8	37.5	36.15	35.0	34.05	33.0	31.6	30.25	29.25	27.85	26.8	25.55	24.35	23.05	21.95	20.8	19.7	18.8	18.65	18.45	18.2	18.15	17.85	17.7	17.65	17.6	17.45
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
