Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.0	15.7	16.75	17.95	19.15	20.2	21.4	22.5	23.55	24.85	26.4	27.45	28.75	29.9	30.5	31.15	31.7	32.35	32.6	32.9	33.15	33.6	34.05	34.35	34.8	35.3	35.55	35.6	35.75	35.75	35.9	36.0	36.1	36.1	36.15	36.15
map(a,e)	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.25	10.7	11.4	12.15	12.7	13.7	14.45	15.3	16.2	16.85	17.9	18.5	19.25	19.65	20.0	20.45	20.5	20.6	20.7	20.9	21.0	21.0	21.05
map(a,E)	5.0	4.3	3.25	2.05	0.85	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(E,i)	10.0	11.35	12.55	13.7	14.95	16.6	17.6	19.1	20.65	21.85	22.95	23.85	24.4	24.4	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55
map(E,e)	5.0	3.65	2.45	1.3	0.05	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	50.0	47.95	45.7	43.35	40.9	38.2	36.0	33.4	30.8	28.3	25.65	23.7	21.85	20.7	19.95	19.3	18.75	18.1	17.85	17.55	17.3	16.85	16.4	16.1	15.65	15.15	14.9	14.85	14.7	14.7	14.55	14.45	14.35	14.35	14.3	14.3
Assim_Adjacent	50.0	49.3	48.25	47.05	45.85	44.8	43.6	42.5	41.45	40.15	38.6	37.55	36.25	34.85	33.8	32.45	31.15	29.95	28.7	27.65	26.55	25.2	24.1	22.75	21.7	20.45	19.8	19.4	18.8	18.75	18.5	18.3	18.0	17.9	17.85	17.8
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
