Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.0	16.05	17.45	18.55	19.55	20.85	21.95	22.85	23.9	25.05	26.2	27.3	29.0	30.1	30.45	30.75	31.05	31.35	32.0	32.35	32.6	32.9	33.3	33.7	34.15	34.45	34.85	35.05	35.35	35.75	35.7	35.8	35.8	35.8	35.8	35.75
map(a,e)	10.0	9.8	9.75	9.6	9.5	9.45	9.35	9.3	9.2	9.15	9.05	9.05	8.95	9.05	9.8	10.35	11.0	11.45	12.35	12.9	13.8	14.4	15.25	16.0	16.8	17.6	18.25	19.1	19.6	19.9	20.3	20.35	20.55	20.6	20.75	20.65
map(a,E)	5.0	4.15	2.8	1.85	0.95	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.05	0.05	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.15
map(E,i)	10.05	11.35	12.45	13.75	15.3	16.5	18.1	19.0	20.2	21.45	22.5	23.65	24.0	24.05	24.2	24.2	24.2	24.2	24.2	24.2	24.2	24.2	24.2	24.2	24.2	24.2	24.2	24.2	24.2	24.2	24.2	24.2	24.2	24.2	24.2	24.2
map(E,e)	4.95	3.65	2.55	1.25	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	49.95	47.6	45.1	42.7	40.15	37.65	34.95	33.15	30.9	28.5	26.3	24.05	22.0	20.85	20.35	20.05	19.75	19.45	18.8	18.45	18.2	17.9	17.5	17.1	16.65	16.35	15.95	15.75	15.45	15.05	15.1	15.0	15.0	15.0	15.0	15.05
Assim_Adjacent	50.0	49.15	47.8	46.85	45.95	44.7	43.7	42.85	41.9	40.8	39.75	38.65	37.05	35.85	34.75	33.9	32.95	32.2	30.65	29.75	28.6	27.7	26.45	25.3	24.05	22.95	21.9	20.85	20.05	19.35	19.0	18.85	18.65	18.6	18.45	18.6
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
