Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.0	16.1	17.3	18.25	19.15	20.1	21.4	22.75	23.75	24.6	26.25	27.0	28.4	29.25	30.25	30.75	30.9	31.45	31.95	32.35	32.75	33.35	33.6	34.0	34.35	34.6	34.85	35.4	35.6	35.75	35.85	35.9	35.85	35.8	35.85	35.95
map(a,e)	10.0	9.9	9.85	9.85	9.85	9.7	9.7	9.6	9.45	9.4	9.4	9.35	9.1	9.15	9.45	10.2	11.0	11.85	13.0	13.8	14.4	15.25	15.9	16.65	17.3	18.1	18.85	19.25	19.55	19.85	20.05	20.2	20.35	20.4	20.6	20.75
map(a,E)	5.0	4.0	2.85	1.9	1.0	0.2	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.05	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(E,i)	10.0	11.1	12.25	13.6	14.9	16.3	17.55	18.7	20.1	21.65	22.65	23.9	24.05	24.3	24.35	24.4	24.4	24.4	24.45	24.45	24.45	24.45	24.45	24.45	24.45	24.45	24.45	24.45	24.45	24.45	24.45	24.45	24.45	24.45	24.45	24.45
map(E,e)	5.0	3.9	2.75	1.4	0.1	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05
Assim_Identical	50.0	47.8	45.45	43.1	40.9	38.55	36.0	33.5	31.1	28.7	26.05	24.05	22.5	21.4	20.35	19.8	19.65	19.1	18.55	18.15	17.75	17.15	16.9	16.5	16.15	15.9	15.65	15.1	14.9	14.75	14.65	14.6	14.65	14.7	14.65	14.55
Assim_Adjacent	50.0	49.0	47.85	46.9	46.0	45.2	43.9	42.65	41.8	41.0	39.35	38.65	37.5	36.6	35.3	34.05	33.1	31.7	30.05	28.85	27.85	26.4	25.5	24.35	23.35	22.3	21.3	20.35	19.85	19.4	19.1	18.9	18.8	18.8	18.55	18.3
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
