Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.05	16.0	17.15	18.55	19.35	20.55	22.05	23.15	24.2	25.6	26.65	27.75	28.7	29.35	29.95	30.45	30.85	31.25	31.5	31.7	32.0	32.45	32.7	32.95	33.3	33.65	34.1	34.25	34.55	34.8	35.0	35.2	35.4	35.75	35.8	35.75
map(a,e)	10.0	10.0	9.9	9.8	9.6	9.4	9.3	9.2	9.05	8.85	8.55	8.45	8.45	8.65	9.0	9.25	9.95	10.65	11.6	12.35	13.25	13.95	14.7	15.25	15.85	16.35	17.15	17.7	18.45	19.05	19.55	19.75	19.95	20.05	20.05	20.2
map(a,E)	4.95	4.0	2.95	1.65	1.05	0.05	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.05	9.39526234589e-15	9.39526234589e-15	0.1	0.05
map(E,i)	10.0	11.2	12.6	14.1	15.45	16.45	17.55	18.8	20.0	21.05	22.45	23.7	24.2	24.3	24.3	24.4	24.45	24.45	24.45	24.5	24.5	24.5	24.5	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55	24.55
map(E,e)	5.0	3.8	2.4	0.9	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.05	5.05
Assim_Identical	49.95	47.8	45.25	42.35	40.2	38.0	35.4	33.05	30.8	28.35	25.9	23.55	22.1	21.35	20.75	20.15	19.7	19.3	19.05	18.8	18.5	18.05	17.8	17.5	17.15	16.8	16.35	16.2	15.9	15.65	15.45	15.25	15.05	14.7	14.6	14.65
Assim_Adjacent	49.95	49.0	47.95	46.65	46.05	45.05	43.65	42.65	41.75	40.55	39.8	38.8	37.85	37.0	36.05	35.3	34.2	33.1	31.9	30.95	29.75	28.6	27.6	26.8	25.85	25.0	23.75	23.05	22.0	21.15	20.45	20.05	19.65	19.2	19.15	19.05
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
