Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.0	16.3	17.7	18.9	20.0	21.0	22.25	23.3	24.8	25.95	27.1	28.35	29.15	30.65	31.0	31.35	31.75	32.0	32.2	32.7	33.0	33.35	33.55	33.85	34.25	34.75	35.25	35.55	35.7	36.0	36.15	36.15	36.2	36.15	36.2	36.25
map(a,e)	10.0	9.9	9.85	9.85	9.75	9.7	9.6	9.55	9.5	9.45	9.35	9.2	9.25	9.25	9.8	10.55	11.1	11.8	12.45	13.15	14.0	14.9	15.35	16.1	16.6	17.1	18.3	18.85	19.55	19.95	20.2	20.25	20.4	20.5	20.5	20.45
map(a,E)	5.0	3.8	2.45	1.25	0.25	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.05	0.1
map(E,i)	10.05	11.1	12.15	13.5	14.95	16.55	17.85	18.7	19.5	20.5	21.85	22.55	23.0	23.25	23.3	23.4	23.4	23.5	23.5	23.5	23.5	23.5	23.5	23.5	23.5	23.5	23.5	23.5	23.5	23.5	23.5	23.5	23.5	23.5	23.5	23.5
map(E,e)	4.95	3.9	2.85	1.5	0.05	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	49.95	47.6	45.15	42.6	40.05	37.45	34.9	33.0	30.7	28.55	26.05	24.1	22.85	21.1	20.7	20.25	19.85	19.5	19.3	18.8	18.5	18.15	17.95	17.65	17.25	16.75	16.25	15.95	15.8	15.5	15.35	15.35	15.3	15.35	15.3	15.25
Assim_Adjacent	50.0	48.8	47.45	46.25	45.25	44.3	43.15	42.15	40.7	39.6	38.55	37.45	36.6	35.1	34.2	33.1	32.15	31.2	30.35	29.15	28.0	26.75	26.1	25.05	24.15	23.15	21.45	20.6	19.75	19.05	18.65	18.6	18.4	18.35	18.3	18.3
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
