Iter-0	Iter-1	Iter-2	Iter-3	Iter-4	Iter-5	Iter-6	Iter-7	Iter-8	Iter-9	Iter-10	Iter-11	Iter-12	Iter-13	Iter-14	Iter-15	Iter-16	Iter-17	Iter-18	Iter-19	Iter-20	Iter-21	Iter-22	Iter-23	Iter-24	Iter-25	Iter-26	Iter-27	Iter-28	Iter-29	Iter-30	Iter-31	Iter-32	Iter-33	Iter-34	Iter-35
map(a,i)	15.0	16.75	18.05	19.35	20.75	21.95	23.25	24.7	26.0	27.45	29.0	30.1	31.0	31.3	31.65	32.1	32.5	32.85	33.3	33.65	34.35	34.75	35.0	35.45	35.85	36.1	36.1	36.2	36.15	36.3	36.25	36.2	36.25	36.25	36.25	36.25
map(a,e)	10.0	10.0	9.95	9.9	9.8	9.75	9.75	9.65	9.55	9.55	9.55	9.75	10.05	10.75	11.35	12.1	13.3	14.1	14.9	15.45	16.05	16.9	17.75	18.55	19.05	19.7	20.05	20.1	20.25	20.3	20.4	20.3	20.3	20.45	20.5	20.7
map(a,E)	5.0	3.25	2.0	0.75	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	0.05	0.15	9.39526234589e-15	9.39526234589e-15	0.25	0.2	0.05	0.05	9.39526234589e-15
map(E,i)	10.0	11.2	12.6	13.7	14.85	15.9	17.1	18.5	20.0	20.95	22.1	22.95	23.05	23.35	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45	23.45
map(E,e)	5.0	3.8	2.4	1.3	0.15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15	9.39526234589e-15
map(e,i)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
Assim_Identical	50.0	47.05	44.35	41.95	39.4	37.15	34.65	31.8	29.0	26.6	23.9	21.95	20.95	20.35	19.9	19.45	19.05	18.7	18.25	17.9	17.2	16.8	16.55	16.1	15.7	15.45	15.45	15.35	15.4	15.25	15.3	15.35	15.3	15.3	15.3	15.3
Assim_Adjacent	50.0	48.25	47.0	45.75	44.45	43.3	42.0	40.65	39.45	38.0	36.45	35.15	33.95	32.95	32.0	30.8	29.2	28.05	26.8	25.9	24.6	23.35	22.25	21.0	20.1	19.2	18.85	18.7	18.6	18.4	18.35	18.5	18.45	18.3	18.25	18.05
Assim_Partial	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
